date,Open,High,Low,Close,Volume,sentiment_mean,sentiment_std,sentiment_max,sentiment_min,news_count,magnitude_mean,magnitude_sum,sentiment_weighted_mean,sentiment_mean_roll_avg_3d,sentiment_weighted_mean_roll_avg_3d,news_count_roll_sum_3d,sentiment_std_roll_max_3d,sentiment_mean_roll_avg_7d,sentiment_weighted_mean_roll_avg_7d,news_count_roll_sum_7d,sentiment_std_roll_max_7d,sentiment_mean_roll_avg_14d,sentiment_weighted_mean_roll_avg_14d,news_count_roll_sum_14d,sentiment_std_roll_max_14d,Policy_Repo_Rate,10Y_Bond_Yield,Call_Money_Rate,CPI_Index,IIP_Index,GDP_Growth_QoQ,USD_INR_Exchange_Rate,Trade_Exports_USD,Trade_Imports_USD,FX_Reserves,Crude_Oil_Brent,Crude_Oil_WTI,Net_Sales_Income_from_operations,Basic_EPS,Net_Profit_Loss_For_the_Period,P_L_Before_Other_Inc_Int_Excpt_Items__Tax,Interest,Increase_Decrease_in_Stocks
08-07-2020,1673.624741,1684.9098,1606.727616,1612.656982,2725937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071429,0.071429,1,0,4.25,5.81,4.25,128.5304,105.6832,47282812.8,74.94,23951550000,28423590000,497249.2626,43.67,40.91,4635,4.82,476,665,25,-305
09-07-2020,1620.069017,1646.847018,1618.251916,1642.304321,1904661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071429,0.071429,1,0,4.25,5.81,4.25,128.5304,105.6832,47282812.8,75.12,23951550000,28423590000,497249.2626,42.35,39.64,4635,4.82,476,665,25,-305
10-07-2020,1633.409917,1636.326852,1621.216365,1629.154175,1156043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071429,0.071429,1,0,4.25,5.81,4.25,128.5304,105.6832,47282812.8,75.14,23951550000,28423590000,497249.2626,43.27,40.56,4635,4.82,476,665,25,-305
13-07-2020,1633.457865,1657.271179,1625.807008,1631.210449,1289791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,5.81,4.25,128.5304,105.6832,47282812.8,75.16,23951550000,28423590000,497249.2626,42.85,40.06,4635,4.82,476,665,25,-305
14-07-2020,1631.210293,1643.021278,1608.688039,1614.713135,1347120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,5.81,4.25,128.5304,105.6832,47282812.8,75.38,23951550000,28423590000,497249.2626,42.97,40.3,4635,4.82,476,665,25,-305
15-07-2020,1625.806912,1638.813344,1590.708656,1598.694214,1611341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,5.81,4.25,128.5304,105.6832,47282812.8,75.11,23951550000,28423590000,497249.2626,43.96,41.2,4635,4.82,476,665,25,-305
16-07-2020,1606.488741,1623.033649,1573.303079,1619.303833,1442725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,5.81,4.25,128.5304,105.6832,47282812.8,75.11,23951550000,28423590000,497249.2626,43.71,40.74,4635,4.82,476,665,25,-305
17-07-2020,1621.025061,1666.452017,1616.004187,1642.925659,2308792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,5.81,4.25,128.5304,105.6832,47282812.8,74.93,23951550000,28423590000,497249.2626,43.53,40.55,4635,4.82,476,665,25,-305
20-07-2020,1651.628669,1680.654082,1645.173258,1675.155029,1848600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,5.81,4.25,128.5304,105.6832,47282812.8,74.77,23951550000,28423590000,497249.2626,43.3,40.83,4635,4.82,476,665,25,-305
21-07-2020,1684.144779,1694.425617,1643.977783,1648.998657,2088461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,5.81,4.25,128.5304,105.6832,47282812.8,74.54,23951550000,28423590000,497249.2626,44.31,41.76,4635,4.82,476,665,25,-305
22-07-2020,1648.998483,1660.618243,1617.199614,1621.74231,1300409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,5.81,4.25,128.5304,105.6832,47282812.8,74.56,23951550000,28423590000,497249.2626,43.98,41.88,4635,4.82,476,665,25,-305
23-07-2020,1617.674341,1665.534528,1614.80273,1653.856689,2375218,1,0,1,1,1,1,1,1,0.333333,0.333333,1,0,0.142857,0.142857,1,0,0.071429,0.071429,1,0,4.25,5.81,4.25,128.5304,105.6832,47282812.8,74.81,23951550000,28423590000,497249.2626,42.96,40.99,4635,4.82,476,665,25,-305
24-07-2020,1650.2193,1653.090911,1610.016742,1638.780762,3971563,0,0,0,0,0,0,0,0,0.333333,0.333333,1,0,0.142857,0.142857,1,0,0.071429,0.071429,1,0,4.25,5.81,4.25,128.5304,105.6832,47282812.8,74.77,23951550000,28423590000,497249.2626,43.29,41.23,4635,4.82,476,665,25,-305
27-07-2020,1643.710241,1711.480313,1643.710241,1702.05188,6470525,0,0,0,0,0,0,0,0,0.333333,0.333333,1,0,0.142857,0.142857,1,0,0.071429,0.071429,1,0,4.25,5.81,4.25,128.5304,105.6832,47282812.8,74.77,23951550000,28423590000,497249.2626,43.39,41.46,4635,4.82,476,665,25,-305
28-07-2020,1702.865497,1715.931352,1676.111699,1684.343628,2534092,0,0,0,0,0,0,0,0,0,0,0,0,0.142857,0.142857,1,0,0.071429,0.071429,1,0,4.25,5.81,4.25,128.5304,105.6832,47282812.8,74.91,23951550000,28423590000,497249.2626,43.11,40.89,2922,2.28,233,293,20,79
29-07-2020,1694.250733,1703.727074,1655.962581,1665.678223,1530981,0,0,0,0,0,0,0,0,0,0,0,0,0.142857,0.142857,1,0,0.071429,0.071429,1,0,4.25,5.81,4.25,128.5304,105.6832,47282812.8,74.92,23951550000,28423590000,497249.2626,43.51,41.13,2922,2.28,233,293,20,79
30-07-2020,1677.020924,1701.908221,1654.143732,1668.741089,2113975,0,0,0,0,0,0,0,0,0,0,0,0,0.142857,0.142857,1,0,0.071429,0.071429,1,0,4.25,5.81,4.25,128.5304,105.6832,47282812.8,74.88,23951550000,28423590000,497249.2626,42.98,39.85,2922,2.28,233,293,20,79
31-07-2020,1678.935352,1695.112118,1637.201292,1642.083008,1678643,0,0,0,0,0,0,0,0,0,0,0,0,0.142857,0.142857,1,0,0.071429,0.071429,1,0,4.25,5.81,4.25,128.5304,105.6832,47282812.8,74.9,23951550000,28423590000,497249.2626,43.13,40.1,2922,2.28,233,293,20,79
03-08-2020,1655.005398,1660.748621,1624.853478,1632.511108,1437425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071429,0.071429,1,0,4.25,6.01,4.25,129.2955,106.1583,47282812.8,75.2,23825680000,31640460000,505303.5655,43.76,40.83,2922,2.28,233,293,20,79
